limb.1	Depdc2 (+33667)
limb.2081	Trub1 (+34258), Atrnl1 (-123859)
limb.2082	Trub1 (+38133), Atrnl1 (-119984)
limb.2083	4930506M07Rik (+23233), 6430537H07Rik (+109410)
limb.2084	Emx2 (+179233), Prlhr (+831794)
limb.2085	Prlhr (+452119), Emx2 (+558908)
limb.155	Armetl1 (+225376), Frmd4a (-418205)
limb.156	Frmd4a (-123105), Armetl1 (+520476)
limb.157	Frmd4a (+145995), Prpf18 (+353219)
limb.158	Frmd4a (+146820), Prpf18 (+352394)
limb.159	Frmd4a (+204420), Prpf18 (+294794)
limb.160	Prpf18 (+215181), Frmd4a (+284033)
limb.161	Plxdc2 (-573)
limb.162	Plxdc2 (+326802), AK138756 (+707884)
limb.163	Nebl (-2860)
limb.164	Nebl (-127393), 1700113O17Rik (+138485)
limb.165	2810030E01Rik (+20525), 1700113O17Rik (-30978)
limb.166	Mllt10 (+903)
limb.167	4933434I06Rik (+41), Thnsl1 (-400)
limb.168	Edf1 (-94)
limb.169	Gpsm1 (-5684), Qsox2 (-72436)
limb.170	Egfl7 (-2490)
limb.171	C630035N08Rik (+20081), Adamtsl2 (+43012)
limb.172	Gtf3c4 (+42480), 1190002A17Rik (+97645)
limb.173	Pkn3 (-873)
limb.174	Ppp2r4 (+25868), Cstad (-153126)
limb.175	Cstad (+10137), 2610205E22Rik (-202796)
limb.176	Cstad (+63274), 2610205E22Rik (-149659)
limb.177	2610205E22Rik (-85796), Cstad (+127137)
limb.178	Asb6 (-5443), Prrx2 (-11538)
limb.179	Prrx2 (+7750), Ptges (+50266)
limb.180	Prrx2 (+27575), Ptges (+30441)
limb.181	Golga2 (+29740), Dnm1 (+35311)
limb.182	Golga2 (+31565), Dnm1 (+33486)
limb.183	Angptl2 (-49655), Garnl3 (-79102)
limb.184	Angptl2 (-9968), Garnl3 (-118789)
limb.185	Lmx1b (+59243), Zbtb43 (-112736)
limb.186	Lmx1b (-60682), 2610528K11Rik (+186753)
limb.187	Pbx3 (+83255), 2610528K11Rik (-400835)
limb.188	Ggta1 (-42203), Dab2ip (-188463)
limb.189	Dab2ip (+55587), Ttll11 (+193226)
limb.190	Crb2 (+224092), Dennd1a (+279941)
limb.191	Dennd1a (+190816), Crb2 (+313217)
limb.192	Acvr2a (-332489)
limb.193	Kif5c (+206517), Lypd6 (-302539)
limb.194	Lypd6 (-222552), Kif5c (+286504)
limb.195	Rnd3 (+132993), 2010311D03Rik (-719441)
limb.196	Rnd3 (-89670), Tas2r134 (-388730)
limb.197	Rnd3 (-118870), Tas2r134 (-359530)
limb.198	Tas2r134 (+140495), Rbm43 (+167157)
limb.199	Rbm43 (+65995), Tas2r134 (+241657)
limb.200	Fmnl2 (+121449), Prpf40a (+211870)
limb.201	Gpd2 (+104730), Galnt5 (-654857)
limb.202	Gpd2 (+376380), Galnt5 (-383207)
limb.203	Galnt5 (-148419), Gpd2 (+611168)
limb.204	Dapl1 (+53674), Tanc1 (-73713)
limb.205	Tanc1 (-49050), Dapl1 (+78337)
limb.206	Tanc1 (-12338), Dapl1 (+115049)
limb.207	Fign (-74474), Grb14 (+850285)
limb.208	Galnt3 (+142398), Scn2a1 (+311735)
limb.209	Galnt3 (+131048), Scn2a1 (+323085)
limb.210	Stk39 (+67262), B3galt1 (+286991)
limb.211	Metapl1 (+30593), Dlx1 (-45514)
limb.212	Sp3 (+865)
limb.213	Gpr155 (-671)
limb.214	Gpr155 (-63708), Wipf1 (+79304)
limb.215	Chrna1 (+7437), Wipf1 (-43459)
limb.216	Atp5g3 (-41537), Lnp (+626113)
limb.217	Atp5g3 (-66562), Lnp (+601088)
limb.218	Atp5g3 (-72062), Lnp (+595588)
limb.219	Atp5g3 (-163725), Lnp (+503925)
limb.220	Atp5g3 (-164525), Lnp (+503125)
limb.221	Atp5g3 (-277225), Lnp (+390425)
limb.222	Atp5g3 (-328562), Lnp (+339088)
limb.223	Lnp (+306275), Atp5g3 (-361375)
limb.224	Lnp (+198075), Atp5g3 (-469575)
limb.225	Hoxd12 (-1074), Hoxd11 (-8437), Hoxd10 (-18015)
limb.226	Hoxd10 (-2190)
limb.227	Hoxd9 (+1281), Hoxd8 (-6445)
limb.228	Mtx2 (+97730), Hnrpa3 (-735678)
limb.229	Mtx2 (+174618), Hnrpa3 (-658790)
limb.230	Mtx2 (+383630), Hnrpa3 (-449778)
limb.231	Hnrpa3 (-308190), Mtx2 (+525218)
limb.232	Hnrpa3 (-236203), Mtx2 (+597205)
limb.233	Hnrpa3 (-235003), Mtx2 (+598405)
limb.234	Hnrpa3 (-219303), Mtx2 (+614105)
limb.235	Hnrpa3 (+560)
limb.236	Ttc30b (+4456), Agps (+101814)
limb.237	Ttc30a2 (+18148), Ttc30b (-21569)
limb.238	Itga4 (-48807), Ube2e3 (+337572)
limb.239	Frzb (+62802), Dnajc10 (+69128)
limb.240	Timm10 (-162), Smtnl1 (-4229)
limb.241	Ndufs3 (+2), Kbtbd4 (-67)
limb.242	Mapk8ip1 (+11869), Pex16 (+13896)
limb.243	Api5 (-698659)
limb.244	Ldlrad3 (+220558), Traf6 (+287379)
limb.245	Trim44 (+106031), Ldlrad3 (-108492)
limb.246	E430002G05Rik (-9319), Fjx1 (-88939)
limb.247	Cd44 (+81334), Slc1a2 (+113893)
limb.248	Mpped2 (-205563), Immp1l (+583068)
limb.249	Mpped2 (+975)
limb.250	Mpped2 (+156287), Fshb (+210095)
limb.251	Bbox1 (+170381), Lgr4 (+217697)
limb.252	Grem1 (+182627), Fmn1 (+248283)
limb.253	Grem1 (+83702), Fmn1 (+347208)
limb.254	Mrg1 (+671036)
limb.255	Mrg1 (+331661)
limb.256	Mrg1 (+195798)
limb.257	Mrg1 (-2602)
limb.258	Tmco5 (-238493), Mrg1 (-575102)
limb.259	Tmco5 (+93307), Spred1 (-149435)
limb.260	Tmco5 (+97194), Spred1 (-145548)
limb.261	Bmf (+29513), Srp14 (-40469)
limb.262	Bmf (+4926), Srp14 (-65056)
limb.263	Disp2 (-22728), Plcb2 (-28752)
limb.264	Tyro3 (+1163), Mga (-96551)
limb.265	Ell3 (-6679), LOC574418 (+7224)
limb.266	Sema6d (-491191)
limb.267	Fbn1 (+13936), Dut (+244767)
limb.268	Fbn1 (-42577), Eid1 (-124085)
limb.269	Gabpb1 (+160)
limb.270	Acoxl (+52849), Bcl2l11 (-218561)
limb.271	Mertk (+10455), Tmem87b (-108851)
limb.272	Mertk (+34768), Tmem87b (-84538)
limb.273	F830045P16Rik (-3625)
limb.274	Tgm3 (-100622), Stk35 (+111191)
limb.275	Rnf24 (-49427), Smox (-89691)
limb.276	Smox (-9528), Rnf24 (-129590)
limb.277	Bmp2 (-214122), 5830467P10Rik (-393041)
limb.278	Bmp2 (+13741), Hao1 (+987412)
limb.279	Bmp2 (+113453), Hao1 (+887700)
limb.280	Hao1 (+339225), Bmp2 (+661928)
limb.281	Jag1 (-49984)
limb.282	Jag1 (-131921)
limb.283	Btbd3 (-424878), Jag1 (-737284)
limb.284	Btbd3 (-397791), Jag1 (-764371)
limb.285	Flrt3 (-621658)
limb.286	Flrt3 (-885496)
limb.287	NONE
limb.288	Kif16b (+876449)
limb.289	Kif16b (+843412)
limb.290	Kif16b (+842787)
limb.291	Dtd1 (+77017), 1700010M22Rik (-146664)
limb.292	Dtd1 (+77667), 1700010M22Rik (-146014)
limb.293	Sox12 (+1419), Nrsn2 (-20061)
limb.294	Zcchc3 (+3750), Sox12 (-13231)
limb.295	Mcts2 (+19079), Id1 (-30047)
limb.296	Mcts2 (+20579), Id1 (-28547)
limb.297	Id1 (-6459), Mcts2 (+42667)
limb.298	Id1 (-1009)
limb.299	Id1 (+3303), Cox4i2 (-14596)
limb.300	Asxl1 (+538)
limb.301	Ahcy (+19574), a (+41282)
limb.302	Eif6 (-36352), Uqcc (+66753)
limb.303	Src (+40609), Nnat (-95208)
limb.304	Bpi (-55151), Tgm2 (-56698)
limb.305	Lbp (-253)
limb.306	Tox2 (+63561), Jph2 (+108935)
limb.307	Kcns1 (+20673), Stk4 (+76262)
limb.308	Zfp335 (+37)
limb.309	Cdh22 (+58206), Cd40 (+120877)
limb.310	Sulf2 (+6443), Ncoa3 (+156576)
limb.311	Sulf2 (-2645)
limb.312	Sulf2 (-24732), BC067047 (+533444)
limb.313	BC067047 (+271906), Sulf2 (-286270)
limb.314	BC067047 (+50281), Sulf2 (-507895)
limb.315	Znfx1 (-8761), Kcnb1 (+117023)
limb.316	Snai1 (+25586), Ube2v1 (+68192)
limb.317	Ube2v1 (+35854), Snai1 (+57924)
limb.318	Adnp (+37799), Pard6b (+87978)
limb.319	Nfatc2 (+64772), Kcng1 (-256245)
limb.320	Nfatc2 (-11715), Atp9a (+139737)
limb.321	Zfp64 (+42824), Sall4 (-145562)
limb.322	Zfp217 (+60544), Tshz2 (+437000)
limb.323	Bcas1 (+83390), Zfp217 (-213218)
limb.324	Dok5 (-96802), Cyp24a1 (-138000)
limb.325	Cbln4 (+409703), Dok5 (+901823)
limb.326	Cbln4 (+381453), Dok5 (+930073)
limb.327	Cbln4 (+308540)
limb.328	Bmp7 (+6131), Tcfap2c (+384549)
limb.329	Pck1 (+18714), Zbp1 (+47103)
limb.330	Zbp1 (-35160), Rab22a (-405795)
limb.331	Edn3 (+98052), Etohi1 (-416299)
limb.332	Cdh26 (+203639), Cdh4 (-808321)
limb.333	Cdh4 (+244766), Taf4a (+289313)
limb.334	Srms (-6850), BC006779 (+22006)
limb.335	Pxmp3 (-665823)
limb.336	Pxmp3 (-805898), Pkia (-984578)
limb.337	Pkia (-439716)
limb.338	Il7 (-330524), Stmn2 (-565576)
limb.339	Mrps28 (+99835), Hey1 (-156950)
limb.340	Zfp704 (-7316), Pag1 (+216229)
limb.341	Pag1 (-6321), Fabp5 (-172655)
limb.342	Tbl1xr1 (-140636)
limb.343	Tbl1xr1 (+2)
limb.344	Nlgn1 (+322055)
limb.345	Ect2 (-249)
limb.346	Evi1 (-88456), Arpm1 (+513666)
limb.347	Evi1 (-110431), Arpm1 (+491691)
limb.348	Evi1 (-215243), Arpm1 (+386879)
limb.349	Evi1 (-230531), Arpm1 (+371591)
limb.350	Evi1 (-260706), Arpm1 (+341416)
limb.351	Arpm1 (+179079), Evi1 (-423043)
limb.352	Arpm1 (+161804), Evi1 (-440318)
limb.353	Arpm1 (+52854), Evi1 (-549268)
limb.354	Cldn11 (+62763), Slc7a14 (+97541)
limb.355	Kcnmb2 (+157676), Zmat3 (+305286)
limb.356	Sox2 (+440774), Atp11b (-663359)
limb.357	Spry1 (+267628), Fat4 (-979336)
limb.358	Spry1 (+492803), Fat4 (-754161)
limb.359	Fat4 (-489624), Spry1 (+757340)
limb.360	Fat4 (+457489)
limb.361	Intu (-578176)
limb.362	Intu (-372463)
limb.363	Intu (-344238)
limb.364	Intu (-214801)
limb.365	Phf17 (-151166), Pgrmc2 (-347027)
limb.366	Phf17 (+276484)
limb.367	Pcdh18 (+114690)
limb.368	Pcdh18 (-185)
limb.369	Slc7a11 (+61197), Pcdh18 (-625135)
limb.370	Mgst2 (+40111), Maml3 (+154979)
limb.371	Foxo1 (-176920), Maml3 (-235171)
limb.372	Foxo1 (-163283), Maml3 (-248808)
limb.373	Foxo1 (-88458), Maml3 (-323633)
limb.374	Dclk1 (+253663), Mab21l1 (-286234)
limb.375	Mab21l1 (-194159), Dclk1 (+345738)
limb.376	Mab21l1 (-182759), Dclk1 (+357138)
limb.377	P2ry1 (-117666), Mbnl1 (+383877)
limb.378	Mme (+197982), Plch1 (+357185)
limb.379	Ccnl1 (+28559), Tiparp (+401219)
limb.380	Schip1 (+20405), Il12a (-202040)
limb.381	Il12a (-103853), Schip1 (+118592)
limb.382	Il12a (-100040), Schip1 (+122405)
limb.383	Ppm1l (+138161), B3galnt1 (+143782)
limb.384	Gm414 (+305203)
limb.385	Rapgef2 (+550959)
limb.386	Gria2 (-34938), Glrb (+75895)
limb.387	Glrb (+34770), Gria2 (-76063)
limb.388	Pdgfc (+700)
limb.389	Pdgfc (+11050), Ctso (-885150)
limb.390	Sfrp2 (-55292), Plrg1 (+655491)
limb.391	Mnd1 (+26091), D930015E06Rik (-89443)
limb.392	Trim2 (-49343), 6330505N24Rik (+210225)
limb.393	9930021J17Rik (-51679), Glt28d2 (+113164)
limb.394	Glt28d2 (+54864), 9930021J17Rik (-109979)
limb.395	Dclk2 (+162852), Mab21l2 (-209746)
limb.396	Lmna (-6872), Rab25 (+38100)
limb.397	Rab25 (+15975), Lmna (-28997)
limb.398	Mtx1 (-486), Thbs3 (-816)
limb.399	Efna1 (-1238)
limb.400	Efna1 (-11550), Efna3 (+31688)
limb.401	Hfe2 (-50345), Fcgr1 (-180871)
limb.402	Notch2 (+47390), Adam30 (-99884)
limb.403	Adam30 (-47934), Notch2 (+99340)
limb.404	Tbx15 (-19495), Wars2 (+93175)
limb.405	Tbx15 (-4982)
limb.406	Spag17 (-219192), Tbx15 (+412480)
limb.407	Spag17 (+45921), Wdr3 (+231036)
limb.408	Spag17 (+80958), Wdr3 (+195999)
limb.409	Cd2 (+75286), Ptgfrn (-102487)
limb.410	Igsf3 (+17697), Atp1a1 (+209154)
limb.411	Igsf3 (+20397), Atp1a1 (+206454)
limb.412	Atp1a1 (-81208), Slc22a15 (+194322)
limb.413	Lrig2 (-29872), Slc16a1 (-96940)
limb.414	Rbm15 (-32419), Kcnc4 (+93190)
limb.415	Eps8l3 (-42892), Csf1 (-73876)
limb.416	Gpr61 (-11988), Amigo1 (-19465)
limb.417	Stxbp3a (+40350), Gpsm2 (-78040)
limb.418	Cnn3 (+42817), Slc44a3 (+62973)
limb.419	Slc44a3 (-56964), F3 (-134242)
limb.420	Abca4 (+4273), Gclm (-196859)
limb.421	Ndst3 (-118906), Tram1l1 (-529654)
limb.422	Ugt8a (+193605), Ndst4 (+340854)
limb.423	Camk2d (-90978), Arsj (+142143)
limb.424	Camk2d (+229610), Ank2 (+582448)
limb.425	5730508B09Rik (-285118)
limb.426	Elovl6 (-241)
limb.427	Ccdc109b (-552)
limb.428	Col25a1 (-19145), Sec24b (-100826)
limb.429	Lef1 (+299)
limb.430	Scye1 (+260642), Dkk2 (+337936)
limb.431	Scye1 (+170942), Dkk2 (+427636)
limb.432	Cxxc4 (-3524)
limb.433	Emcn (-51181), Ppp3ca (+619192)
limb.434	Ddit4l (-62574), Emcn (+220019)
limb.435	H2afz (-111400), Ddit4l (+129463)
limb.436	Rap1gds1 (+69312), Tspan5 (+263692)
limb.437	Unc5c (+26335), Bmpr1b (+490352)
limb.438	Pdlim5 (+172594), Bmpr1b (-240773)
limb.439	Pdlim5 (+156956), Bmpr1b (-256411)
limb.440	Pkn2 (-613572), Lmo4 (+709410)
limb.441	Lmo4 (-176390), Hs2st1 (+188777)
limb.442	Ssx2ip (-7663), Edg7 (+176039)
limb.443	Ttll7s (+518397)
limb.444	Ttll7s (+954197)
limb.445	Ttll7s (+984835)
limb.446	Lphn2 (-34764)
limb.447	Lphn2 (-36127)
limb.448	Ptgfr (-54484), Gipc2 (+273888)
limb.449	Gipc2 (+140563), Ptgfr (-187809)
limb.450	St6galnac3 (+134634), St6galnac5 (-608292)
limb.451	1700012H17Rik (+163812), Cyp7a1 (+467640)
limb.452	Runx1t1 (-419803)
limb.453	Runx1t1 (+3397), Slc26a7 (+833578)
limb.454	Slc26a7 (+347266), Runx1t1 (+489709)
limb.455	Ggh (+121902), E130310K16Rik (+614714)
limb.456	Klhl32 (+12191)
limb.457	Map3k7 (-140334)
limb.458	Bach2 (+64226), Gja10 (+299206)
limb.459	Ifnk (-32566), Cga (+225710)
limb.460	Dnaic1 (+58736), Cntfr (+68509)
limb.461	Cntfr (+35996), Dnaic1 (+91249)
limb.462	Olfr157 (-2324)
limb.463	Shb (-2286)
limb.464	Igfbpl1 (-21864), Tdrd7 (-138771)
limb.465	Tmem38b (+344604), Zfp462 (-777279)
limb.466	Zfp462 (-477204), Tmem38b (+644679)
limb.467	Ptpn3 (-243586), Akap2 (-310231)
limb.468	Akap2 (-7669), Ptpn3 (-546148)
limb.469	Akap2 (+49969), Txn1 (+52282)
limb.470	Edg2 (+52003), Musk (+215554)
limb.471	Olfr267 (+115054), Edg2 (-117147)
limb.472	Olfr267 (+107616), Edg2 (-124585)
limb.473	Olfr267 (+62679), Edg2 (-169522)
limb.474	Trim32 (-201539), Pappa (+279305)
limb.475	Trim32 (+307586), Tlr4 (-915207)
limb.476	Megf9 (-596551)
limb.477	Aldoart1 (+224780), Tle1 (-426997)
limb.478	Aldoart1 (-94108), Rasef (+828730)
limb.479	Nfib (+278267), Mpdz (-784029)
limb.480	Nfib (+96404), Mpdz (-965892)
limb.481	Nfib (-129433), Zdhhc21 (+224973)
limb.482	Psip1 (-345182), Bnc2 (+714833)
limb.483	Bnc2 (+408971), Psip1 (-651044)
limb.484	Bnc2 (+183933), Psip1 (-876082)
limb.485	Adamtsl1 (+18556), Rraga (-280364)
limb.486	Adamtsl1 (+119081), Rraga (-179839)
limb.487	Mllt3 (+198898), Slc24a2 (-603969)
limb.488	Jun (-1660)
limb.489	Jun (-85498), 2310009E04Rik (-441818)
limb.490	Jun (-226723), 2310009E04Rik (-300593)
limb.491	2310009E04Rik (-261456), Jun (-265860)
limb.492	Hook1 (-145207), 2310009E04Rik (+242669)
limb.493	Cyp2j5 (-260366), Nfia (-853414)
limb.494	Nfia (-311714), Cyp2j5 (-802066)
limb.495	Nfia (-200377), Cyp2j5 (-913403)
limb.496	Nfia (-176477), Cyp2j5 (-937303)
limb.497	Nfia (-121527), Cyp2j5 (-992253)
limb.498	Nfia (+271973), Tm2d1 (+333393)
limb.499	Tm2d1 (+278543), Nfia (+326823)
limb.500	Tm2d1 (+275968), Nfia (+329398)
limb.501	Tm2d1 (+274730), Nfia (+330636)
limb.502	Tm2d1 (+159780), Nfia (+445586)
limb.503	Tm2d1 (+139205), Nfia (+466161)
limb.504	Ankrd38 (+162840), Inadl (+258871)
limb.505	Ankrd38 (+139752), Inadl (+281959)
limb.506	Ube2u (-114446), Ror1 (+268630)
limb.507	Ube2u (+48916), Cachd1 (-248896)
limb.508	Cachd1 (+80992), Raver2 (-211367)
limb.509	Pde4b (+236844), Insl5 (+534945)
limb.510	Ppap2b (+49124)
limb.511	Usp24 (-251749), Ppap2b (+907124)
limb.512	Usp24 (-223849), Ppap2b (+935024)
limb.513	Usp24 (-219912), Ppap2b (+938961)
limb.514	Usp24 (-215649), Ppap2b (+943224)
limb.515	Usp24 (-116099)
limb.516	Acot11 (-40005), Ssbp3 (-71699)
limb.517	Acot11 (-48180), Ssbp3 (-63524)
limb.518	Ssbp3 (-45812), Acot11 (-65892)
limb.519	Ssbp3 (-44324), Acot11 (-67380)
limb.520	Ssbp3 (-1112)
limb.521	Glis1 (+8752), Dmrtb1 (+240106)
limb.522	Dmrtb1 (+73744), Glis1 (+175114)
limb.523	Zcchc11 (-25780), Gpx7 (-26933)
limb.524	Spata6 (-28752)
limb.525	Foxd2 (+89690), OTTMUSG00000008561 (+412472)
limb.526	Foxd2 (+86765), OTTMUSG00000008561 (+415397)
limb.527	Mknk1 (+15900), Kncn (-29254)
limb.528	Pik3r3 (-1156)
limb.529	Tmem53 (+63007), 4931406I20Rik (+181919)
limb.530	4931406I20Rik (+116857), Tmem53 (+128069)
limb.531	4931406I20Rik (+104669), Tmem53 (+140257)
limb.532	4931406I20Rik (+62269), Tmem53 (+182657)
limb.533	Prnpip1 (+63014), Dmap1 (+68717)
limb.534	St3gal3 (+93857), Artn (-111270)
limb.535	St3gal3 (+76569), Artn (-128558)
limb.536	Olfr62 (-22323), Ebna1bp2 (+22380)
limb.537	Nfyc (+8444), Kcnq4 (-70095)
limb.538	Tmco2 (-106182), OTTMUSG00000008911 (+109509)
limb.539	Trit1 (-2477)
limb.540	Trit1 (+34536), Bmp8b (-54032)
limb.541	Hpcal4 (+4104), Nt5c1a (-13945)
limb.542	Macf (+90477), Bmp8a (-251080)
limb.543	2610027C15Rik (+2479), Thrap3 (+52228)
limb.544	Gjb5 (-56368), Hmgb4 (+846363)
limb.545	Hmgb4 (+105351), Gjb5 (-797380)
limb.546	Phc2 (+11071), A3galt2 (-43189)
limb.547	Phc2 (+22071), A3galt2 (-32189)
limb.548	Trim62 (+15292), Adc (+62985)
limb.549	Serinc2 (+1004), Gm853 (-52287)
limb.550	Laptm5 (-50248), Sdc3 (+70549)
limb.551	Ptpru (+353267), Matn1 (+540587)
limb.552	Ptpru (+217)
limb.553	Fgr (+10358), Ahdc1 (-27020)
limb.554	Wasf2 (-39597), Ahdc1 (+79530)
limb.555	Gpr3 (+27075), Wasf2 (+54828)
limb.556	D4Ertd196e (-4433)
limb.557	Arid1a (-4100)
limb.558	Arid1a (-59975), Rps6ka1 (+74198)
limb.559	Syf2 (+71668), Runx3 (-117997)
limb.560	Srrm1 (-425)
limb.561	Id3 (-3274)
limb.562	Id3 (-1374)
limb.563	Id3 (-11)
limb.564	Ephb2 (+74074), 4930549C01Rik (+151424)
limb.565	C230096C10Rik (+27905), Aldh4a1 (-242512)
limb.566	Aldh4a1 (-23712), C230096C10Rik (+246705)
limb.567	Rcc2 (-16975), Arhgef10l (-35786)
limb.568	Sdhb (-3260)
limb.569	Dhrs3 (-9992), 9430007A20Rik (+363263)
limb.570	Vps13d (+54290), Dhrs3 (+174021)
limb.571	Tardbp (-61346), BC035954 (-260269)
limb.572	BC035954 (-88719), Tardbp (-232896)
limb.573	BC035954 (-76432), Tardbp (-245183)
limb.574	BC035954 (-39969), Tardbp (-281646)
limb.575	BC035954 (+16643), Pex14 (+134558)
limb.576	Spsb1 (+78639), Slc25a33 (-102100)
limb.577	Spsb1 (+64027), Slc25a33 (-116712)
limb.578	Spsb1 (+61339), Slc25a33 (-119400)
limb.579	Spsb1 (+32327), Slc25a33 (-148412)
limb.580	Rere (+90751), Slc45a1 (+279507)
limb.581	Rere (+111851), Slc45a1 (+258407)
limb.582	Vamp3 (-354064), Camta1 (+449729)
limb.583	Vamp3 (-379439), Camta1 (+424354)
limb.584	Actrt2 (-3834)
limb.585	Actrt2 (-26159), B230396O12Rik (-162456)
limb.586	Actrt2 (-40696), B230396O12Rik (-147919)
limb.587	Actrt2 (-42496), B230396O12Rik (-146119)
limb.588	Actrt2 (-63759), B230396O12Rik (-124856)
limb.589	Actrt2 (-83021), B230396O12Rik (-105594)
limb.590	Rer1 (-57870), Ski (+78368)
limb.591	Ski (-60694), Prkcz (+78162)
limb.592	Fzd1 (-100480), Pftk1 (+521746)
limb.593	Sema3d (+58320), Sema3a (-957433)
limb.594	Sema3d (+285770), Sema3a (-729983)
limb.595	Sema3a (-332296), Sema3d (+683457)
limb.596	Sema3a (-273783), Sema3d (+741970)
limb.597	Cacna2d1 (-84630), Speer4d (+231059)
limb.598	Mll5 (-220936), Lhfpl3 (+467449)
limb.599	Mapre3 (-39691), Dpysl5 (+63170)
limb.600	Emilin1 (-333)
limb.601	Maea (+17605), 2410018C17Rik (+276178)
limb.602	Psapl1 (-41832), Afap1 (+268870)
limb.603	Sorcs2 (+23375), Psapl1 (+170743)
limb.604	Msx1 (-71164), Stx18 (-143486)
limb.605	Msx1 (-93514), Stx18 (-121136)
limb.606	Nsg1 (+59955), Stx18 (+60277)
limb.607	Nsg1 (+53043), Stx18 (+67189)
limb.608	Ldb2 (-122942), Qdpr (+527508)
limb.609	Qdpr (+167395), Ldb2 (-483055)
limb.610	Qdpr (+27895), Ldb2 (-622555)
limb.611	Kcnip4 (-443792), Gpr125 (+725647)
limb.612	Ppargc1a (+75524)
limb.613	2310045A20Rik (-166360), Rbpj (-210403)
limb.614	Stim2 (-75758), Tbc1d19 (+113133)
limb.615	Klf3 (+2626), Tlr1 (+126550)
limb.616	Klhl5 (+11992), Wdr19 (-80134)
limb.617	Slc30a9 (+93992), D830007B15Rik (-206934)
limb.618	D830007B15Rik (+33754), Atp8a1 (+205794)
limb.619	Spata18 (+131067), Usp46 (+290748)
limb.620	Usp46 (+1448), Spata18 (+420367)
limb.621	Rasl11b (-19513), Usp46 (-107402)
limb.622	Rasl11b (+6787), Scfd2 (+329638)
limb.623	Rasl11b (+71112), Scfd2 (+265313)
limb.624	Rasl11b (+72525), Scfd2 (+263900)
limb.625	Scfd2 (+98488), Rasl11b (+237937)
limb.626	Lnx1 (-56352), Chic2 (+310450)
limb.627	Lnx1 (-61889), Chic2 (+304913)
limb.628	Pdgfra (-7653), Gsx2 (+72912)
limb.629	Pdgfra (-5353), Gsx2 (+75212)
limb.630	Kit (-169548), Pdgfra (+249310)
limb.631	Kit (-164048), Pdgfra (+254810)
limb.632	Igfbp7 (-876860)
limb.633	Lphn3 (+73420)
limb.634	NONE
limb.635	Ankrd56 (+47185), Shroom3 (+314402)
limb.636	Ccni (-747)
limb.637	Fras1 (+10877), Anxa3 (-408583)
limb.638	Antxr2 (+76305), Gk2 (-497649)
limb.639	Fgf5 (+223248), Bmp3 (-377007)
limb.640	Rasgef1b (+77733), Prkg2 (-138115)
limb.641	Rasgef1b (-116167), Hnrpd (+609844)
limb.642	Rasgef1b (-299555), Hnrpd (+426456)
limb.643	Rasgef1b (-311905), Hnrpd (+414106)
limb.644	Rasgef1b (-338317), Hnrpd (+387694)
limb.645	Nkx6-1 (+140342), A230097K15Rik (+678140)
limb.646	Arhgap24 (-106959), Wdfy3 (-304511)
limb.647	Arhgap24 (+238403), Mapk10 (+491540)
limb.648	Mapk10 (+181752), Arhgap24 (+548191)
limb.649	Spp1 (-19835), Mepe (+90981)
limb.650	Tgfbr3 (+137276), Cdc7 (+187922)
limb.651	Tgfbr3 (+66988), Cdc7 (+258210)
limb.652	Slc26a1 (-2263)
limb.653	Pitpnb (-209945), Chek2 (+280802)
limb.654	Pitpnb (-207295), Chek2 (+283452)
limb.655	Mn1 (+138115), Cryba4 (+696221)
limb.656	Mn1 (+352115), Cryba4 (+482221)
limb.657	Hps4 (+19990), Asphd2 (+27682)
limb.658	Myo18b (+13917), Sez6l (-281396)
limb.659	Aym1 (+16712), Cmklr1 (+297373)
limb.660	Cmklr1 (+65911), Aym1 (+248174)
limb.661	Cmklr1 (+48)
limb.662	Tmem119 (+10710), Iscu (+16830)
limb.663	Tmem119 (+3523), Iscu (+24017)
limb.664	Coro1c (+35714), Selplg (-42559)
limb.665	Sirt4 (+8260), Pla2g1b (+9826)
limb.666	Hspb8 (+100172), Prkab1 (-298264)
limb.667	Tesc (+29768), Fbxw8 (+97866)
limb.668	2410131K14Rik (+76565), Med13l (-238927)
limb.669	Med13l (-95115), 2410131K14Rik (+220377)
limb.670	Tbx3 (-419040), Med13l (+690910)
limb.671	Ncor2 (+19521), 3110032G18Rik (+156218)
limb.672	Ubc (-289)
limb.673	Aacs (-255)
limb.674	4632425D07Rik (-1933)
limb.675	4632425D07Rik (+77467), Slc15a4 (+298099)
limb.676	4632425D07Rik (+82142), Slc15a4 (+293424)
limb.677	4632425D07Rik (+128817), Slc15a4 (+246749)
limb.678	Fzd10 (+19357), Piwil1 (-115783)
limb.679	Mmp17 (-153901), Gpr133 (+333563)
limb.680	Mmp17 (-82888), Gpr133 (+404576)
limb.681	Wbscr17 (-274134)
limb.682	Wbscr17 (-324546)
limb.683	Wbscr17 (-468396)
limb.684	Wbscr17 (-760334)
limb.685	NONE
limb.686	Wbscr16 (+355149)
limb.687	Wbscr16 (+176611)
limb.688	Wbscr16 (+161711)
limb.689	Wbscr16 (+103024)
limb.690	Gtf2ird1 (+468)
limb.691	Wbscr28 (+5327), Eln (-154152)
limb.692	Sh2b2 (-158890), Cutl1 (+162035)
limb.693	Cutl1 (-1503)
limb.694	Emid2 (+72076), Mylc2pl (+116854)
limb.695	Emid2 (+21676), Mylc2pl (+167254)
